---config@码表分类=主码-系统码表
---config@码表别名= 系统词库
啊	a
很是	hfui
很帅	hfuk
很爽	hful
很熟	hfuu
很重	hfv
狠招	hfvc
很窄	hfvd
后发制人	hfvr
很重	hfvs
狠抓	hfvx
很晚	hfw
很晚	hfwj
恨	hfx
狠心	hfxb
恨	hfxg
很想	hfxl
很咸	hfxm
很小	hfxn
很凶	hfxs
后发先至	hfxv
和风细雨	hfxy
很有	hfy
很严	hfyj
很硬	hfyk
灰飞烟灭	hfym
很远	hfyr
环肥燕瘦	hfyu
很有	hfyz
很早	hfz
很早	hfzc
很脏	hfzh
横	hg
蘅	hgc
横财	hgcd
蘅	hgci
横渡	hgd
恒定	hgdk
横渡	hgdu
横幅	hgf
横幅	hgfu
回光返照	hgfv
横贯	hgg
化干戈为玉帛	hggb
横亘	hggf
横杠	hggh
横杆	hggj
横贯	hggr
哼哼	hgh
哼哼	hghg
横祸	hgho
衡	hgi
横陈	hgif
哼唱	hgih
衡	hgii
横穿	hgir
恒久	hgj
恒久	hgjq
哼	hgk
哼	hgkl
横跨	hgkx
衡量	hgl
黑咕隆咚	hgld
衡量	hgll
桁	hgm
横	hgmb
桁	hgmi
横蛮	hgmj
横眉	hgmw
横批	hgp
横排	hgpd
横批	hgpi
横盘	hgpj
横切	hgq
横切	hgqp
回锅肉	hgr
横肉	hgrz
横扫	hgs
横扫	hgsc
横死	hgsi
横条	hgt
回过头来	hgtl
横条	hgtn
恒生	hgu
恒生	hgug
衡山	hguj
湖光山色	hgus
横竖	hguu
合格证	hgv
横着	hgve
合格证	hgvg
后顾之忧	hgvy
亨	hgw
恒温	hgwf
珩	hgwi
亨	hgwl
横卧	hgwo
好高骛远	hgwy
恒	hgx
恒心	hgxb
恒	hgxg
恒星	hgxk
横向	hgxl
横线	hgxm
衡阳	hgy
衡阳	hgyh
横溢	hgyi
祸国殃民	hgym
横越	hgyt
横在	hgz
横遭	hgzc
横在	hgzd
后果自负	hgzf
悔过自新	hgzx
行	hh
航班	hhb
好坏不分	hhbf
航班	hhbj
好汉不吃眼前亏	hhbk
航标	hhbn
惶惶不可终日	hhbr
巷	hhc
花花草草	hhcc
黄花菜	hhcd
行次	hhci
巷	hhcs
夯	hhd
航道	hhdc
浩浩荡荡	hhdd
行当	hhdh
沆	hhdj
夯	hhdl
哈哈大笑	hhdx
浑浑噩噩	hhee
何海峰	hhf
行规	hhg
行规	hhgv
花花公子	hhgz
黑乎乎	hhh
航海	hhhd
画虎画皮难画骨	hhhg
含含糊糊	hhhh
行货	hhho
呼和浩特	hhht
黑乎乎	hhhu
行话	hhhx
行	hhi
航程	hhig
昏昏沉沉	hhii
行行出状元	hhiy
行家	hhj
行距	hhju
行家	hhjx
吭	hhk
吭	hhkj
航空	hhks
行列	hhl
轰轰烈烈	hhll
行列	hhlp
杭	hhm
桁	hhmi
后悔莫及	hhmj
航母	hhmu
行情	hhq
含糊其辞	hhqc
行情	hhqk
欢呼雀跃	hhqy
挥汗如雨	hhry
绗	hhs
绗	hhsi
航速	hhsu
航天	hht
航天	hhtm
行数	hhu
夯实	hhui
花花世界	hhuj
行数	hhuu
航	hhv
赫赫之功	hhvg
行长	hhvh
航站	hhvj
鸿鹄之志	hhvv
慌慌张张	hhvv
杭州	hhvz
挥霍无度	hhwd
珩	hhwi
后患无穷	hhwq
行伍	hhwu
航线	hhx
航行	hhxk
航向	hhxl
航线	hhxm
好好学习	hhxx
行业	hhy
行业	hhye
赫赫有名	hhym
后会有期	hhyq
昏昏欲睡	hhyu
航运	hhyy
花好月圆	hhyy
怀恨在心	hhzx
好处	hi
何出此言	hicy
回肠荡气	hidq
缓冲行	hih
缓冲行	hihh
酣畅淋漓	hill
好吃懒做	hilz
豁出去	hiq
豁出去	hiqu
横冲直撞	hivv
回嗔作喜	hizx
含	hj
寒	hjb
汉堡	hjbc
寒	hjbd
厚积薄发	hjbf
罕	hjbg
好景不长	hjbi
寒冰	hjbk
菡	hjc
菡	hjck
汗	hjd
寒带	hjdd
汗	hjdg
旱地	hjdi
邯郸	hjdj
涵	hjdk
汉典	hjdm
寒冬	hjds
瀚	hjdx
汉	hjdy
嵅	hjek
捍	hjf
寒风	hjfg
后继乏人	hjfr
撼	hjfx
邯	hjg
函告	hjgc
涵盖	hjgd
邗	hjge
寒光	hjgl
韩国	hjgo
函购	hjgz
焊	hjh
焊	hjhg
含糊	hjhu
狐假虎威	hjhw
汉化	hjhx
憨厚	hjhz
蚶	hji
寒潮	hjic
化茧成蝶	hjid
寒碜	hjif
虷	hjig
酣畅	hjih
寒蝉	hjij
寒窗	hjil
喊出	hjiu
汗臭	hjiz
罕见	hjj
旱季	hjji
罕见	hjjm
喊叫	hjjn
焊接	hjjp
韩剧	hjju
寒假	hjjx
讳疾忌医	hjjy
喊	hjk
喊	hjkk
寒苦	hjku
汉口	hjkz
函	hjl
翰林	hjlb
好极了	hjle
寒冷	hjlg
函	hjlk
含量	hjll
虎踞龙盘	hjlp
寒流	hjlq
含泪	hjlw
花街柳巷	hjlx
阚	hjm
汗毛	hjmc
胡搅蛮缠	hjmi
阚	hjmw
旱	hjo
旱	hjog
晗	hjok
寒气	hjqi
汗青	hjqk
颔	hjr
汉人	hjrf
悍然	hjrj
含	hjrk
颔	hjrr
挥金如土	hjrt
寒酸	hjs
寒酸	hjsr
好几天	hjt
旱獭	hjta
憨态	hjtd
好几天	hjtm
海角天涯	hjty
韩	hju
寒舍	hjue
喊声	hjug
憾事	hjui
汗衫	hjuj
函数	hjuu
汗水	hjuv
韩	hjuw
翰	hjux
函授	hjuz
憨	hjv
含着	hjve
憨直	hjvi
寒颤	hjvj
花甲之年	hjvn
汉中	hjvs
汗珠	hjvu
憨	hjvx
横加指责	hjvz
捍卫	hjw
韩文	hjwf
后继无人	hjwr
捍卫	hjww
憾	hjx
寒心	hjxb
悍	hjxg
喊醒	hjxk
汗腺	hjxm
憨笑	hjxn
寒暄	hjxr
汉学	hjxt
含蓄	hjxu
憾	hjxx
酣	hjy
汗液	hjye
酣	hjyg
涵养	hjyh
含义	hjyi
汗颜	hjyj
荒郊野岭	hjyl
喊冤	hjyr
欢聚一堂	hjyt
汉语	hjyu
荒郊野外	hjyw
含有	hjyz
鼾	hjz
旱灾	hjzd
鼾	hjzg
汉字	hjzi
汉族	hjzu
酣醉	hjzv
坏	hk
怀抱	hkb
惶恐不安	hkba
怀抱	hkbc
怀表	hkbn
淮北	hkbw
虎口拔牙	hkby
淮	hkd
淮	hkdf
坏蛋	hkdj
坏话	hkh
淮海	hkhd
淮河	hkhe
怀恨	hkhf
坏坏	hkhk
花开花落	hkhl
坏话	hkhx
徊	hki
怀揣	hkik
坏处	hkiu
怀春	hkiy
怀旧	hkj
怀旧	hkjq
坏了	hkl
坏了	hkle
怀里	hkli
槐	hkm
槐	hkmg
航空母舰	hkmj
怀念	hkn
怀念	hknm
坏人	hkr
坏人	hkrf
怀柔	hkrz
坏死	hks
坏死	hksi
坏	hkt
坏	hktb
怀胎	hktd
海阔天空	hktk
虎口逃生	hktu
坏事	hku
坏事	hkui
海枯石烂	hkul
槐树	hkuu
怀中	hkv
怀着	hkve
坏账	hkvh
怀中	hkvs
昏聩无能	hkwn
怀	hkx
怀	hkxb
黄口小儿	hkxe
怀想	hkxl
怀疑	hky
怀疑	hkyi
虎口余生	hkyu
怀孕	hkyy
怀有	hkyz
踝	hkz
踝	hkzg
黄	hl
鳇	hla
鳇	hlaw
皇	hlb
谎报	hlbc
皇榜	hlbh
忽略不计	hlbj
胡萝卜	hlbo
旱涝保收	hlbu
何乐不为	hlbw
荒	hlc
黄	hlcb
荒草	hlcc
荒	hlcv
荒村	hlcy
湟	hld
潢	hldb
荒岛	hldc
红绿灯	hldg
晃荡	hldh
皇帝	hldi
荒诞	hldj
画龙点睛	hldj
晃动	hlds
滉	hldw
黄豆	hldz
隍	hle
皇恩	hlen
何乐而不为	hlew
荒废	hlf
黄蜂	hlfg
荒废	hlfw
黄瓜	hlg
黄光	hlgl
皇冠	hlgr
皇宫	hlgs
黄瓜	hlgx
煌	hlh
黄海	hlhd
黄河	hlhe
晃晃	hlhl
惶惑	hlho
晃来晃去	hlhq
忽冷忽热	hlhr
糊里糊涂	hlht
恍惚	hlhu
花里胡哨	hlhu
煌	hlhw
谎话	hlhx
活灵活现	hlhx
黄昏	hlhy
皇后	hlhz
蝗	hli
蟥	hlib
皇朝	hlic
谎称	hlig
蝗虫	hlis
好了疮疤忘了痛	hlit
皇储	hliu
徨	hliw
凰	hlj
黄金	hljb
汗流浃背	hljb
惶急	hlji
狐狸精	hljk
黑龙江	hljl
荒郊	hljn
鹤立鸡群	hljq
后来居上	hlju
幌	hljw
皇家	hljx
惶恐	hlk
惶恐	hlks
灰溜溜	hll
黄了	hlle
黄鹂	hlli
获利了结	hllj
荒凉	hlll
黄连	hllm
灰溜溜	hllq
慌乱	hllr
黄龙	hlls
遑论	hlly
红楼梦	hlm
黄毛	hlmc
红楼梦	hlmg
慌忙	hlmh
黄粱美梦	hlmm
荒漠	hlmo
荒谬	hlmq
黄梅	hlmw
荒年	hlnm
黄牛	hlnq
晃	hlo
晃	hlow
黄脸婆	hlp
黄牌	hlpd
荒僻	hlpi
黄脸婆	hlpo
黄埔	hlpu
皇权	hlq
荒丘	hlqq
黄泉	hlqr
黄雀	hlqt
恍然	hlr
恍然	hlrj
恍如	hlru
黄色	hls
黄色	hlse
荒唐	hlt
荒唐	hlth
后浪推前浪	hltl
皇天	hltm
黄铜	hlts
黄土	hltu
囫囵吞枣	hltz
磺	hlu
黄沙	hlua
磺	hlub
慌神	hluf
皇上	hluh
皇室	hlui
黄山	hluj
花露水	hluv
寒来暑往	hluw
簧	hlv
簧	hlvb
慌张	hlvh
荒置	hlvi
虎狼之师	hlvu
篁	hlvw
璜	hlw
好莱坞	hlw
璜	hlwb
互联网	hlwh
肓	hlwo
荒芜	hlwu
皇位	hlww
慌	hlx
恍	hlx
黄线	hlxm
慌	hlxv
惶	hlxw
谎	hly
荒淫	hlyb
荒野	hlye
话里有话	hlyh
谎言	hlyj
黄莺	hlyk
黄粱一梦	hlym
荒原	hlyr
谎	hlyv
晃悠	hlyz
遑	hlz
幌子	hlzi
皇族	hlzu
遑	hlzw
后面	hm
好马不吃回头草	hmbc
花名册	hmc
花名册	hmce
黑名单	hmd
黑名单	hmdj
哈密瓜	hmg
汗马功劳	hmgl
哈密瓜	hmgx
忽明忽暗	hmha
荒谬绝伦	hmjl
横眉冷对千夫指	hmlv
横眉怒目	hmnm
讳莫如深	hmru
侯门似海	hmsh
火冒三丈	hmsv
横眉竖眼	hmuy
横蛮无理	hmwl
鸿门宴	hmy
鸿门宴	hmyj
黄毛丫头	hmyt
回眸一笑	hmyx
湖南	hn
海纳百川	hnbi
海内存知己	hncj
海南岛	hnd
海南岛	hndc
患难夫妻	hnfq
何年何月	hnhy
汗牛充栋	hnid
红男绿女	hnln
猴年马月	hnmy
混凝土	hnt
混凝土	hntu
患难之交	hnvj
海内外	hnw
海内外	hnwd
患难与共	hnyg
哈尼族	hnz
哈尼族	hnzu
或	ho
豁	hob
火把	hoba
火爆	hobc
货币	hobi
伙伴	hobj
火并	hobk
获	hoc
藿	hocf
货舱	hoch
获	hocq
活	hod
豁达	hoda
活到	hodc
获得	hode
活	hodk
火	hodr
活动	hods
火堆	hodv
伙房	hofh
活佛	hofo
祸福	hofu
惑	hog
或	hoga
活该	hogd
祸根	hogf
火光	hogl
火锅	hogo
火罐	hogr
货柜	hogv
夥	hogx
和	hoh
祸害	hohd
和	hohk
活活	hoho
祸患	hohr
火红	hohs
火狐	hohu
火花	hohx
火候	hohz
火柴	hoid
火车	hoie
火场	hoih
货船	hoir
豁出	hoiu
镬	hoj
伙计	hoji
火警	hojk
获奖	hojl
火箭	hojm
活结	hojp
获救	hojq
火炬	hoju
货架	hojx
嚯	hok
嚯	hokf
火坑	hokg
货款	hokr
活口	hokz
火辣	hola
活了	hole
活力	holi
活络	holo
霍乱	holr
火龙	hols
火炉	holu
货轮	holy
豁免	hom
活埋	homd
活命	homk
豁免	homm
火苗	homn
祸	hop
货品	hopb
火炮	hopc
火盆	hopf
获批	hopi
祸	hopn
活泼	hopo
获取	hoq
火气	hoqi
火枪	hoql
火球	hoqq
获取	hoqu
货	hor
火热	hore
活人	horf
伙	horh
豁然	horj
货	horr
火速	hos
活塞	hosd
货色	hose
火速	hosu
祸胎	hot
祸胎	hotd
伙同	hots
火腿	hotv
火头	hotz
获胜	hou
火烧	houc
火舌	houe
获胜	houg
伙食	houi
火山	houj
祸水	houv
祸首	houz
活着	hov
或者	hove
获知	hovi
活捉	hovo
火种	hovs
货主	hovu
获准	hovy
货物	how
货物	howu
或许	hox
获悉	hoxi
火星	hoxk
藿香	hoxl
火线	hoxm
获选	hoxr
活血	hoxt
或许	hoxu
霍	hoy
火药	hoyc
活页	hoye
霍	hoyf
货样	hoyh
获益	hoyi
火焰	hoyj
货源	hoyr
活跃	hoyt
货运	hoyy
或有	hoyz
火灾	hoz
火灾	hozd
或则	hoze
获赠	hozg
火葬	hozh
活字	hozi
害怕	hp
狐朋狗友	hpgy
黄袍加身	hpju
鸿篇巨制	hpjv
红扑扑	hpp
红扑扑	hppu
和盘托出	hpti
回去	hq
何其多	hqd
何其多	hqdo
何其毒也	hqdy
皇亲国戚	hqgq
何去何从	hqhc
合情合理	hqhl
浩气长存	hqic
回去了	hql
回去了	hqle
含情脉脉	hqmm
魂牵梦绕	hqmr
魂牵梦萦	hqmy
黑漆漆	hqq
黑漆漆	hqqi
黑黢黢	hqqu
横七竖八	hqub
荷枪实弹	hqud
害群之马	hqvm
豪情壮志	hqvv
后起之秀	hqvx
好奇心	hqx
好奇心	hqxb
祸起萧墙	hqxq
寒气袭人	hqxr
花前月下	hqyx
黄雀在后	hqzh
换	hr
痪	hrb
环保	hrbc
痪	hrbd
郇	hrbe
还本	hrbf
宦	hrbi
诲人不倦	hrbj
患病	hrbk
害人不浅	hrbq
缓步	hrbu
寰	hrby
缓存	hrcy
涣	hrd
奂	hrd
环岛	hrdc
还贷	hrdd
浣	hrde
幻灯	hrdg
洹	hrdg
换挡	hrdh
换掉	hrdn
欢度	hrdu
恍然大悟	hrdw
焕发	hrfa
换	hrfd
换肤	hrfu
还给	hrg
换个	hrge
换岗	hrgh
缓过	hrgo
宦官	hrgr
恨入骨髓	hrgs
豁然贯通	hrgt
环顾	hrgu
恍如隔世	hrgu
还给	hrgw
焕	hrh
焕	hrhd
缓和	hrhe
换行	hrhh
害人害己	hrhj
缓缓	hrhr
欢呼	hrhu
幻化	hrhx
患	hri
换车	hrie
换成	hrig
欢畅	hrih
后人乘凉	hril
缓冲	hris
患处	hriu
患	hrix
豢	hrj
还击	hrji
环境	hrjk
环节	hrjp
缓解	hrjp
幻觉	hrjt
欢聚	hrju
还价	hrjx
唤	hrk
唤	hrkd
欢快	hrkk
豁然开朗	hrkl
还款	hrkr
圜	hrky
还口	hrkz
换了	hrl
换来	hrld
欢乐	hrle
还礼	hrli
环流	hrlq
环路	hrlu
桓	hrm
桓	hrmg
缓慢	hrmj
幻灭	hrmp
嬛	hrn
换脑	hrnc
患难	hrnj
嬛	hrny
獾	hrq
獾	hrqf
唤起	hrqi
欢庆	hrqk
还钱	hrqm
环球	hrqq
换取	hrqu
环绕	hrr
环绕	hrrc
换人	hrrf
焕然	hrrj
恍然若失	hrru
缓	hrs
换算	hrsr
欢送	hrss
还俗	hrsu
缳	hrsy
欢腾	hrt
欢腾	hrtg
浑然天成	hrti
幻听	hrtk
欢跳	hrtn
骇人听闻	hrtw
换上	hru
欢声	hrug
换上	hruh
环视	hrui
环山	hruj
幻术	hruu
换手	hruz
还债	hrv
还债	hrvd
患者	hrve
还账	hrvh
环状	hrvl
浩然之气	hrvq
环	hrw
环	hrwb
浑然无知	hrwv
换位	hrww
欢心	hrx
欢心	hrxb
欢喜	hrxi
唤醒	hrxk
幻想	hrxl
环线	hrxm
欢笑	hrxn
换血	hrxt
换下	hrxx
欢	hry
换牙	hrya
换页	hrye
豢养	hryh
浩如烟海	hryh
换衣	hryi
欢颜	hryj
欢迎	hryk
花容月貌	hrym
虎入羊群	hryq
还原	hryr
浑然一体	hryt
欢愉	hryu
幻	hryv
焕然一新	hryx
患有	hryz
还	hrz
还	hrzb
还嘴	hrzv
红	hs
宏	hsb
红包	hsbc
红笔	hsbi
红斑	hsbj
訇	hsbk
红遍	hsbm
宏	hsbs
烘焙	hsbw
蕻	hsc
薨	hscb
洪	hsd
泓	hsd
宏大	hsda
洪	hsdb
红灯	hsdg
红底	hsdi
红蛋	hsdj
鸿	hsdn
轰动	hsds
红豆	hsdz
红粉	hsf
红粉	hsff
洪峰	hsfg
洪福	hsfu
弘	hsg
烘干	hsgj
红光	hsgl
宏观	hsgr
弘	hsgs
鸿沟	hsgz
烘	hsh
烘	hshb
洪荒	hshl
红火	hsho
红红	hshs
洪湖	hshu
红花	hshx
虹	hsi
红茶	hsia
红尘	hsif
虹	hsig
哄传	hsir
轰	hsiy
红酒	hsj
鸿基	hsji
红酒	hsjq
红军	hsjy
哄	hsk
哄	hskb
烘烤	hskc
哈萨克	hske
虹口	hskz
洪涝	hslc
红了	hsle
红利	hsli
洪亮	hsll
红脸	hslm
洪流	hslq
轰隆	hsls
胡思乱想	hslx
宏论	hsly
闳	hsm
鸿毛	hsmc
轰鸣	hsmk
闳	hsms
红木	hsmu
红梅	hsmw
红娘	hsn
晦涩难懂	hsnd
红娘	hsnl
哄骗	hsp
红牌	hspd
红盘	hspj
哄骗	hspm
宏碁	hsq
红旗	hsqi
横扫千军	hsqj
哄抢	hsql
红人	hsr
红人	hsrf
红日	hsri
轰然	hsrj
鸿儒	hsru
红润	hsry
红色	hss
红色	hsse
红	hssg
宏图	hst
红桃	hstc
哄抬	hstd
红糖	hsth
烘托	hsto
红土	hstu
洪水	hsu
红烧	hsuc
红参	hsuf
红薯	hsuu
洪水	hsuv
轰炸	hsv
轰炸	hsva
红妆	hsvl
红肿	hsvs
好色之徒	hsvt
红烛	hsvu
宏伟	hsw
宏伟	hsww
红心	hsxb
红杏	hsxk
烘箱	hsxl
红线	hsxm
哄笑	hsxn
红袖	hsxq
红学	hsxt
红霞	hsxx
讧	hsy
红叶	hsye
讧	hsyg
弘扬	hsyh
红衣	hsyi
红颜	hsyj
鸿运	hsyy
红枣	hsz
红枣	hszc
洪灾	hszd
红字	hszi
挥洒自如	hszr
后天	ht
恨铁不成钢	htbg
换汤不换药	htby
嚎啕大哭	htdk
宏图大志	htdv
哄堂大笑	htdx
黄土高原	htgy
昏天黑地	hthd
虎头虎脑	hthn
皇天后土	htht
花团锦簇	htjc
花天酒地	htjd
憨态可掬	htkj
呼天抢地	htqd
红彤彤	htt
灰头土脸	httl
红彤彤	htts
回头是岸	htua
虎头蛇尾	htuw
欢天喜地	htxd
滑天下之大稽	htxj
互通有无	htyw
户	hu
互	hua
互	huaa
互爱	huai
湖北	hub
胡说八道	hubd
海水不可斗量	hubl
湖边	hubm
互补	hubu
湖北	hubw
葫	huc
葫	huco
沪	hud
斛	hud
虎视眈眈	hudd
滹	hudh
虎胆	hudj
好事多磨	hudm
湖	hudo
蝴蝶	hudp
护短	hudr
互动	huds
弧度	hudu
浒	hudw
华盛顿	hudy
忽而	huer
护	huf
护法	hufa
互访	hufh
护肤	hufu
弧	hug
胡搞	hugc
壶盖	hugd
弧	hugg
鹘	hugn
虎	huh
扈	huhb
护航	huhh
呼喊	huhj
和	huhk
火烧火燎	huhl
好声好气	huhq
呼唤	huhr
绘声绘色	huhs
互惠	huhv
胡话	huhx
绘声绘影	huhy
蝴	hui
胡扯	huie
呼哧	huii
蝴	huio
好事成双	huiu
胡吹	huiv
狐臭	huiz
呼叫	huj
户籍	huji
呼叫	hujn
呼救	hujq
护驾	hujx
火上浇油	hujy
呼	huk
呼	hukh
唬	hukj
囫	hukw
后生可畏	hukw
户口	hukz
黄鼠狼	hul
呼啦	hula
和事佬	hulc
胡来	huld
虎狼	hulh
狐狸	huli
护理	huli
华山论剑	hulj
互联	hulm
胡乱	hulr
忽略	hult
葫芦	hulu
囫囵	huly
糊	hum
虎门	humf
火烧眉毛	humm
糊	humo
核	humr
狐媚	humw
混水摸鱼	humy
鹄	hun
胡闹	hunc
湖南	hunj
鹄	hunn
糊弄	huns
乎	hup
互派	hupd
湖畔	hupj
祜	hupk
乎	hupl
湖泊	hupo
横竖撇点折	hupv
狐	huq
狐	huqg
皓首穷经	huqj
忽然	hur
唬人	hurf
互让	hurh
忽然	hurj
鼾声如雷	hurl
护送	hus
护送	huss
猢狲	husy
糊涂	hut
胡桃	hutc
互通	huts
糊涂	hutu
画蛇添足	hutz
胡	huu
呼哨	huuc
浑身是胆	huud
护身	huuf
呼声	huug
忽视	huui
护士	huui
忽闪	huuj
海市蜃楼	huul
海誓山盟	huum
胡说	huuo
户数	huuu
湖水	huuv
浑身上下	huux
壶	huuy
含沙射影	huuy
笏	huv
护照	huvc
护着	huve
横生枝节	huvj
好事之徒	huvt
后事之师	huvu
笏	huvw
胡诌	huvz
忽	huw
户外	huwd
忽闻	huwf
琥	huwj
瑚	huwo
回首往事	huwu
护卫	huww
忽	huwx
互信	huxb
呼吸	huxi
户型	huxk
互相	huxl
弧线	huxm
呼啸	huxn
虎穴	huxt
胡须	huxu
惚	huxx
欢声笑语	huxy
虎牙	huya
狐疑	huyi
胡言	huyj
呼应	huyk
呼吁	huyu
忽悠	huyz
活受罪	huz
胡子	huzi
活受罪	huzv
会	hv
惠	hva
灰暗	hvan
惠	hvax
回报	hvb
汇报	hvbc
灰白	hvbd
毁谤	hvbh
回避	hvbi
悔之不及	hvbj
回禀	hvbk
横征暴敛	hvbl
汇编	hvbm
徽标	hvbn
回拨	hvbo
挥之不去	hvbq
荟	hvc
会餐	hvcj
茴	hvck
荟	hvcs
荟萃	hvcv
蕙	hvcx
汇	hvd
回答	hvda
回到	hvdc
回荡	hvdh
回单	hvdj
洄	hvdk
回电	hvdm
毁掉	hvdn
挥动	hvds
灰度	hvdu
汇兑	hvdv
堕	hve
堕	hvet
隳	hvex
挥	hvf
挥发	hvfa
彗	hvfe
汇丰	hvfg
回放	hvfh
挥	hvfi
回返	hvfj
恢复	hvfu
回复	hvfu
会费	hvfw
慧	hvfx
麾	hvg
悔改	hvgd
麾	hvgm
回国	hvgo
会馆	hvgr
回顾	hvgu
回归	hvgv
回购	hvgz
秽	hvh
烩	hvh
挥毫	hvhc
回合	hvhe
悔恨	hvhf
回航	hvhh
毁坏	hvhk
辉煌	hvhl
挥霍	hvho
恢弘	hvhs
会徽	hvhv
回话	hvhx
悔婚	hvhy
会后	hvhz
徽	hvi
回潮	hvic
回车	hvie
灰尘	hvif
回程	hvig
会场	hvih
挥斥	hvii
蛔	hvik
蛔虫	hvis
徽	hviw
回春	hviy
回抽	hviz
毁	hvj
灰烬	hvjb
汇集	hvji
回敬	hvjk
会见	hvjm
回教	hvjn
挥之即去	hvjq
回绝	hvjt
汇聚	hvju
货真价实	hvju
回家	hvjx
毁	hvjy
回	hvk
会考	hvkc
会客	hvke
回	hvkk
贿	hvko
汇款	hvkr
喙	hvku
回馈	hvkv
回扣	hvkz
回来	hvl
回来	hvld
毁了	hvle
回廊	hvlh
回礼	hvli
回落	hvlo
回流	hvlq
回笼	hvls
贿赂	hvlu
汇率	hvlv
挥泪	hvlw
桧	hvm
回民	hvmb
会面	hvmm
毁灭	hvmp
桧	hvms
回眸	hvmz
回暖	hvn
回暖	hvnr
晖	hvo
晖	hvoi
晦	hvom
化妆品	hvp
化妆品	hvpb
汇票	hvpn
惠普	hvpu
回去	hvq
晦气	hvqi
哗众取宠	hvqi
火中取栗	hvql
会前	hvqm
挥拳	hvqr
回去	hvqu
会	hvr
回绕	hvrc
恨之入骨	hvrg
毁容	hvrs
汇入	hvru
绘	hvs
挥洒	hvsa
灰色	hvse
会所	hvso
汇算	hvsr
绘	hvss
回溯	hvsu
毁损	hvsy
回头	hvt
会堂	hvth
会谈	hvtj
回天	hvtm
回调	hvtn
回帖	hvtp
会同	hvts
绘图	hvtu
回头	hvtz
灰	hvu
卉	hvuc
回升	hvug
会商	hvuh
回事	hvui
回删	hvuj
回收	hvuz
会展	hvv
挥着	hvve
会诊	hvvf
徽章	hvvh
回执	hvvi
会展	hvvj
回转	hvvr
花枝招展	hvvv
惠州	hvvz
珲	hvw
回稳	hvwf
回望	hvwh
虺	hvwi
化整为零	hvwl
挥舞	hvwu
回味	hvww
悔	hvx
灰心	hvxb
回信	hvxb
恢	hvxh
辉	hvxi
彗星	hvxk
回想	hvxl
灰线	hvxm
诙谐	hvxp
回旋	hvxr
讳	hvy
回音	hvyb
诙	hvyh
会议	hvyi
回忆	hvyi
汇演	hvyj
回应	hvyk
诲	hvym
会员	hvyr
毁约	hvyt
讳	hvyw
好整以暇	hvyx
会有	hvyz
汇总	hvz
回赠	hvzg
汇总	hvzs
回族	hvzu
悔罪	hvzv
黑	hw
黑暗	hwa
黑暗	hwan
黑白	hwb
黑豹	hwbc
黑白	hwbd
黑帮	hwbh
黑板	hwbj
毫无保留	hwbl
黑洞	hwd
黑道	hwdc
黑底	hwdi
黑洞	hwds
毫无二致	hwev
黑发	hwf
黑发	hwfa
黑锅	hwg
黑锅	hwgo
黑鬼	hwgv
毫无关系	hwgx
黑黑	hwh
黑户	hwhu
嘿嘿	hwhw
黑话	hwhx
黑车	hwi
黑车	hwie
好望角	hwj
好望角	hwjn
嘿	hwk
黑客	hwke
嘿	hwkh
黑了	hwl
黑了	hwle
黑	hwlh
黑亮	hwll
黑脸	hwlm
黑马	hwm
黑马	hwma
黑幕	hwmu
黑莓	hwmw
哈瓦那	hwn
哈瓦那	hwna
黑奴	hwnu
黑屏	hwp
黑屏	hwpk
核武器	hwq
核武器	hwqi
黑枪	hwql
黑钱	hwqm
黑人	hwr
黑人	hwrf
好为人师	hwru
荒无人烟	hwry
黑色	hws
黑色	hwse
黑桃	hwt
黑桃	hwtc
黑体	hwti
黑炭	hwtj
黑土	hwtu
黑头	hwtz
黑手	hwu
黑纱	hwua
黑哨	hwuc
黑市	hwui
黑手	hwuz
化外之民	hwvm
黑窝	hww
黑窝	hwwo
回味无穷	hwwq
化为乌有	hwwy
红外线	hwx
黑心	hwxb
黑线	hwxm
嘿咻	hwxq
黑熊	hwxs
黑夜	hwy
黑夜	hwye
互为因果	hwyg
黑衣	hwyi
黑烟	hwyj
黑影	hwyk
混为一谈	hwyt
毫无疑问	hwyw
毫无意义	hwyy
黑字	hwz
黑字	hwzi
话	hx
画	hxa
画	hxak
花瓣	hxb
画报	hxbc
花白	hxbd
横行霸道	hxbd
喝西北风	hxbf
画笔	hxbi
花瓣	hxbj
滑冰	hxbk
花边	hxbm
华表	hxbn
划拨	hxbo
话别	hxbp
画布	hxbu
华北	hxbw
花	hxc
花	hxcb
花草	hxcc
画册	hxce
花丛	hxcs
滑	hxd
好心当成驴肝肺	hxdf
华灯	hxdg
华诞	hxdj
划定	hxdk
花掉	hxdn
花朵	hxdo
化蝶	hxdp
华东	hxds
滑动	hxds
花儿	hxe
花儿	hxer
话费	hxf
划分	hxff
话锋	hxfg
花房	hxfh
花费	hxfw
祸兮福所倚	hxfy
划	hxg
画稿	hxgc
滑盖	hxgd
花光	hxgl
划过	hxgo
花冠	hxgr
化工	hxgs
花鼓	hxgu
划归	hxgv
欢欣鼓舞	hxgw
花卉	hxh
混淆黑白	hxhb
化合	hxhe
划痕	hxhf
花环	hxhr
花红	hxhs
花卉	hxhv
画画	hxhx
好心好意	hxhy
候选窗	hxi
花茶	hxia
花车	hxie
化成	hxig
花痴	hxii
候选窗	hxil
红杏出墙	hxiq
划船	hxir
画出	hxiu
铧	hxj
